r,l,t
-95,3,751.519152
-99,2,752.869997
-95,3,754.739526
-99,2,756.087611
-95,3,758.075141
-95,3,759.995441
-70,5,762.986889
-95,3,764.982422
-99,2,766.714175
-95,3,768.701975
-99,2,770.036733
-86,4,772.626425
-95,3,774.498305
-9,7,778.306638
40,8,783.666516
-86,4,786.596905
-99,2,788.428818
104,9,793.598772
-99,2,795.113296
104,9,799.982813
-45,6,803.557247
-9,7,807.383733
-70,5,810.304769
-86,4,812.649207
-99,2,813.963301
-99,2,815.222742
-86,4,817.657211
-99,2,818.959257
-95,3,820.848439
-95,3,822.733898
-99,2,824.038833
-59,8,828.400774
185,10,833.730705
-99,2,835.090945
-86,4,837.442151
-99,2,838.763346
-95,3,840.511388
-95,3,842.394621
-9,7,846.188635
104,9,850.966664
-45,6,854.257656
-99,2,855.510645
-70,5,858.419208
-9,7,862.249994
-99,2,863.652047
-95,3,865.499719
40,8,869.846663
-95,3,871.758926
-86,4,874.15792
-95,3,876.068964
-70,5,879.318481
-120,6,882.880117
-86,4,885.435933
-99,2,886.788086
-99,2,888.060298
-86,4,890.400024
-86,4,892.753984
-70,5,895.744843
-95,3,897.636328
-145,4,900.107114
104,9,904.913708
-9,7,908.832703
-95,7,912.810149
135,11,918.4416
-95,3,920.360901
-99,2,921.657144
-99,2,922.941754
-86,4,926.074583
-99,2,928.491104
-95,3,930.586325
-99,2,931.913235
-95,3,933.896664
-86,4,936.839964
-86,4,939.409924
-99,2,940.701321
-99,2,942.026628
-95,3,944.455536
-86,4,947.061797
-99,2,948.420335
-95,3,950.282029
-45,6,954.128416
40,8,958.631532
-86,4,961.623602
-86,4,964.061142
-86,4,966.370994
-9,7,970.284229
-86,4,972.702363
-86,4,975.042024
-136,5,977.854307
-95,3,979.626496
-70,5,982.474064
-86,4,984.889668
-95,3,986.669986
-99,2,988.006905
-9,7,991.771726
-86,4,994.092043
-99,2,995.475871
-99,2,996.981266
-95,3,998.850337
-45,6,1002.168495
-95,3,1003.992535
-45,6,1007.416987
-99,2,1008.767255
-95,3,1010.657882
-86,4,1013.019578
-145,4,1015.433114
-45,6,1018.870027
40,8,1022.983823
40,8,1027.226775
-99,2,1028.760695
-95,3,1030.581369
-45,6,1033.855015
135,14,1040.917018
-99,2,1042.234644
-136,5,1045.135103
-45,6,1048.50746
-95,3,1050.312829
-9,7,1054.004307
-70,5,1057.009177
104,9,1061.863026
-70,5,1064.81467
-95,3,1066.595525
54,10,1071.759438
-99,2,1073.191135
-9,7,1076.966244
-120,6,1080.466595
-95,3,1082.310673
185,13,1088.667454
-70,5,1091.502088
-99,2,1092.830303
-45,6,1097.735667
-95,3,1099.624597
-95,3,1101.641759
-45,6,1105.749751
-86,4,1109.296032
-70,5,1112.320602
-45,6,1116.237139
-120,6,1120.235749
-86,4,1122.660994
-86,4,1124.962237
-86,4,1127.627948
-95,3,1129.478176
-99,2,1130.776829
-95,3,1132.604512
-145,4,1134.976713
-95,3,1136.799752
-99,2,1138.094232
-86,4,1140.383905
-59,8,1144.724534
-99,2,1146.127803
-95,3,1147.804874
-60,10,1153.064834
-99,2,1154.344514
-70,5,1157.261615
-70,5,1160.111809
-86,4,1162.3051
-86,4,1164.70668
-99,2,1165.98319
-70,5,1168.846276
-99,2,1170.180675
-99,2,1171.476937
-9,7,1176.49632
-95,7,1180.327949
-99,2,1181.637294
35,13,1188.031967
356,13,1194.273613
-70,5,1197.139079
-99,2,1198.503006
-99,2,1199.886912
-45,6,1203.445383
135,11,1208.847786
-95,3,1210.723662
-46,12,1216.787382
-9,7,1220.688539
-70,5,1223.536968
-99,2,1224.829813
-86,4,1227.21006
-95,3,1229.019482
-120,6,1232.350467
104,9,1237.482503
-70,5,1240.398128
-95,3,1242.229936
-9,7,1246.151972
-95,3,1247.986471
-70,5,1250.866186
-70,5,1253.686965
-86,4,1256.382449
-95,3,1258.25547
-86,4,1260.622387
-59,8,1264.820816
-86,4,1267.286977
-86,4,1269.606084
-95,3,1271.480907
-95,3,1273.290394
-45,6,1276.710425
-95,3,1278.611157
-99,2,1279.930675
-86,4,1282.198698
-95,3,1284.064914
-70,5,1286.895702
-9,7,1290.63771
-70,5,1293.632406
-86,4,1296.043973
-99,2,1297.372373
-45,6,1300.688368
185,10,1305.748885
-86,4,1308.189164
-99,2,1309.540361
-86,4,1311.96924
-45,6,1315.280174
-99,2,1316.629204
40,8,1320.943788
104,9,1325.562057
-145,8,1330.003909
-95,3,1331.7321
-86,4,1334.168506
-86,4,1336.614232
-86,4,1338.961394
-95,3,1340.85052
-99,2,1342.208585
40,8,1346.44645
-99,2,1347.850717
-70,5,1350.734369
-70,5,1353.678425
-70,5,1356.579887
-95,3,1358.478818
-95,3,1360.325226
54,10,1366.090119
-86,4,1368.828651
-95,3,1370.675192
-99,2,1371.993165
-45,6,1375.769115
-70,5,1379.00925
-45,6,1382.6728
-145,4,1385.133155
40,8,1389.440284
54,10,1394.951115
185,10,1399.991138
-86,4,1402.413128
-95,7,1406.144161
-95,3,1408.04199
-70,5,1410.882576
-95,3,1412.738731
-86,4,1415.098909
-86,4,1417.565539
135,11,1423.091609
-86,4,1425.495513
-70,5,1428.284528
-95,3,1430.17368
-86,4,1432.499107
-60,10,1437.657925
-95,3,1439.481555
-86,4,1441.848527
-195,9,1446.703621
-86,4,1449.095699
-99,2,1450.387126
500,14,1457.01778
-86,4,1459.372161
-95,3,1461.135505
-95,7,1465.34983
-99,2,1466.832247
-70,5,1469.698345
-86,4,1472.131309
-86,4,1474.536163
-99,2,1476.044143
-95,3,1478.170423
-86,4,1480.577988
-45,6,1483.976286
-86,4,1486.614247
-99,2,1487.97416
-95,3,1490.246973
-99,2,1491.557211
4,11,1497.225697
-99,2,1498.549256
-70,5,1501.413538
185,10,1506.471625
40,8,1510.702509
-86,4,1513.087935
-86,4,1515.518102
-70,5,1518.388735
-95,3,1520.07437
-86,4,1522.457979
-45,6,1525.733973
-46,12,1531.860691
-99,2,1533.162368
-99,2,1534.461512
-99,2,1536.000965
-86,4,1538.459894
-99,2,1539.751432
40,8,1543.976256
-70,5,1546.908369
104,9,1551.509544
-120,6,1555.037081
-99,2,1556.344666
40,8,1560.621374
-95,7,1564.411661
-95,3,1566.54012
-10,9,1571.357501
-99,2,1572.703316
-95,3,1574.554022
-86,4,1576.876344
-99,2,1578.193858
-95,3,1579.977531
-99,2,1581.265918
-86,4,1583.553117
-99,2,1584.786383
