r,l,t
-95,3,2342.075081
-100,1,2346.125886
-86,4,2356.019981
-70,5,2367.572637
-99,2,2373.929593
-95,3,2382.034606
-100,1,2386.092026
-145,4,2395.88745
-99,2,2401.720482
-120,6,2415.079085
-95,3,2423.199149
-99,2,2429.074944
-86,4,2438.796537
-86,4,2448.251366
-95,3,2456.394847
-99,2,2462.356436
-95,3,2470.381074
-99,2,2476.460432
-99,2,2482.741334
-95,3,2490.587211
-86,4,2501.021418
-95,3,2509.156963
-100,1,2513.253715
-99,2,2519.203559
-100,1,2523.326974
-145,4,2533.498263
-100,1,2537.650807
-70,5,2549.626225
-99,2,2555.606174
-86,4,2565.902869
-95,3,2573.673414
-86,4,2583.577951
-100,1,2587.572695
-95,3,2595.433375
-100,1,2599.517204
-100,1,2603.548872
-99,2,2609.246586
-95,3,2617.298406
-145,8,2635.261507
-99,2,2641.459737
-86,4,2651.392569
-95,3,2659.845886
-95,3,2668.13437
-9,7,2684.228895
-100,1,2688.830614
-100,1,2692.882204
-86,4,2702.85023
-100,1,2707.083684
-99,2,2712.755863
-86,4,2723.885635
-99,2,2729.998269
-100,1,2734.18544
-70,5,2745.945624
-100,1,2750.029909
-70,5,2762.235484
-95,3,2770.00393
-95,3,2777.747826
-100,1,2781.775245
-100,1,2786.504707
-99,2,2792.600357
-100,1,2796.531805
-86,4,2806.440673
-100,1,2810.659826
-100,1,2814.859886
-95,3,2822.855973
-95,3,2831.07444
-45,6,2844.686387
-86,4,2854.422239
-86,4,2864.054461
-45,6,2877.846407
-99,2,2883.651058
-95,3,2891.568275
-100,1,2895.955299
-10,9,2916.336829
-99,2,2922.553498
-95,3,2930.683615
-100,1,2934.982181
-95,3,2942.944098
-199,4,2953.201992
-10,9,2973.225099
-100,1,2977.4056
-95,3,2985.291878
-100,1,2989.303873
-86,4,2999.154371
-95,3,3007.285854
-86,4,3017.380265
-95,3,3027.271963
-100,1,3032.0848
-100,1,3036.878639
-86,4,3047.226142
-99,2,3054.079637
-99,2,3060.437906
