r,l,t
450,15,8329.285565
-145,4,8344.134733
-120,6,8362.267628
-70,5,8376.269687
-9,7,8395.668044
-45,6,8413.381918
-59,8,8435.860257
40,8,8457.012473
940,20,8498.367457
-159,10,8523.24858
104,9,8545.635698
104,9,8566.980297
54,10,8589.606299
-59,8,8609.38973
-9,7,8628.823268
-9,7,8647.756034
-60,10,8672.251756
185,10,8696.50752
-9,7,8715.926003
-86,4,8728.629319
-110,11,8756.350319
40,8,8777.666107
500,14,8809.685761
-95,3,8821.368473
-95,3,8832.31189
-95,7,8851.273876
-70,5,8865.908792
256,15,8902.078187
-259,12,8931.793128
-95,3,8942.423162
40,8,8964.70613
619,16,9001.605437
-86,4,9014.237245
135,11,9040.75867
285,11,9067.213707
135,11,9094.229467
-59,8,9115.878857
85,15,9151.906113
-59,8,9173.092511
4,11,9198.700878
-60,10,9223.619141
4,11,9249.461551
-86,4,9262.11662
4,11,9288.263161
-95,3,9298.541629
-95,7,9317.095913
-59,8,9337.96616
285,11,9363.289415
54,10,9388.170029
-159,10,9411.465261
135,14,9442.409825
135,11,9469.793997
35,13,9500.305358
135,11,9528.310044
306,14,9559.753504
235,12,9586.188136
-100,1,9591.650661
85,12,9618.79053
54,10,9641.514442
54,10,9665.415204
-70,5,9679.708087
569,17,9715.418817
40,8,9736.453831
85,12,9765.328206
-86,4,9777.503603
-9,7,9795.737275
-70,5,9810.226308
356,13,9838.088797
-109,9,9858.403855
54,10,9880.389976
-159,10,9904.099716
-46,12,9931.054851
40,8,9950.896299
-109,9,9974.146143
285,11,9997.928742
550,13,10025.319649
306,14,10054.655578
54,10,10077.848778
-59,8,10098.269847
-95,3,10107.903414
-60,10,10131.410616
-100,1,10137.479933
285,11,10162.764135
-60,10,10187.435299
-70,5,10201.120045
285,11,10227.721332
-10,9,10250.02819
-9,7,10267.935871
-96,13,10298.17553
135,11,10323.62196
40,8,10343.63075
-195,9,10365.161317
-10,9,10387.409151
54,10,10410.586377
500,14,10439.321403
54,10,10461.979936
-59,8,10480.715048
-70,5,10494.438502
4,11,10518.250293
719,14,10546.57833
35,13,10572.993594
285,11,10596.187397
285,11,10619.423579
-95,3,10628.658997
235,12,10653.774961
-159,10,10676.518766
-209,11,10702.802882
4,11,10728.078798
356,13,10755.975322
185,10,10779.701499
-10,9,10799.853318
-86,4,10811.775144
-9,7,10831.569693
-59,8,10851.714609
-45,6,10867.498077
40,8,10888.177472
-170,7,10905.637812
-109,9,10927.012372
4,11,10953.245598
369,21,10995.177091
-59,8,11013.403605
-10,9,11034.103721
104,9,11054.380719
40,8,11073.894237
135,11,11098.242294
4,11,11122.874593
40,8,11141.764582
-149,3,11151.150076
85,12,11178.562038
-145,8,11197.66986
-59,8,11216.055166
235,12,11242.2701
54,10,11265.126697
-9,7,11282.129817
256,15,11312.107752
-136,5,11325.291059
185,13,11352.560998
104,9,11373.947804
54,10,11395.657803
-60,10,11419.310778
185,13,11447.480701
-10,9,11467.769222
406,12,11494.213443
-159,10,11516.886012
-109,9,11539.245174
-9,7,11556.756058
-46,12,11583.459018
-95,3,11593.312483
-159,10,11616.900623
-10,9,11637.471783
-45,6,11653.126709
235,12,11678.971184
-10,9,11700.171203
104,9,11721.520048
-10,9,11742.715402
135,11,11766.610811
285,11,11790.245663
-10,9,11811.551166
450,15,11841.221537
-95,7,11857.741786
-160,12,11883.659024
135,11,11907.360278
185,10,11929.558598
406,12,11954.380949
135,14,11983.279828
-46,12,12008.173514
54,10,12030.107241
-59,8,12049.180876
185,10,12070.140419
54,10,12092.065278
285,11,12114.569834
104,9,12134.792559
104,9,12155.10957
-45,6,12169.998248
-9,7,12187.154705
135,11,12211.727632
400,16,12243.801508
285,11,12268.897993
104,9,12289.338856
-10,9,12310.649927
104,9,12331.733004
54,10,12354.20546
54,10,12376.361287
-60,10,12398.384102
-10,9,12420.173092
-95,3,12429.169931
135,11,12454.210233
-110,11,12478.432077
-59,8,12497.146393
54,10,12519.279882
104,9,12540.19723
-9,7,12557.814093
35,13,12584.828225
-109,9,12606.338828
-15,14,12635.342705
356,13,12661.644091
-100,1,12666.97065
-10,9,12693.664505
-95,7,12708.738398
185,13,12732.770958
185,10,12751.62975
-46,12,12774.935777
-45,6,12788.216337
550,13,12811.712014
-159,10,12830.964691
135,11,12851.984091
85,12,12873.844074
135,11,12894.904677
135,11,12915.541155
-10,9,12932.788761
-86,4,12943.127985
235,12,12965.016694
-9,7,12979.592167
185,13,13002.900644
-10,9,13020.052616
85,12,13043.019608
-10,9,13061.428758
135,14,13085.31725
-10,9,13102.479703
185,10,13120.670508
-99,2,13126.856658
54,10,13147.239521
104,9,13165.07572
54,10,13184.687575
185,10,13203.375262
40,8,13219.431516
-9,7,13233.810362
54,10,13252.392103
185,10,13271.463799
-60,10,13290.59201
-109,9,13307.573131
-270,9,13325.454213
85,12,13347.326229
85,12,13369.872116
185,10,13389.087174
-109,9,13407.201484
-46,12,13429.627455
-59,8,13445.854841
-95,3,13454.028382
-60,10,13473.713762
104,9,13491.154721
235,12,13513.8488
356,13,13538.163221
-109,9,13555.820496
40,8,13571.531867
406,12,13594.604112
