r,l,t
-146,14,1234.042891
-86,4,1235.976972
-95,3,1237.632511
-146,14,1243.66377
-96,13,1249.327901
-95,3,1250.996711
-99,2,1252.121504
185,10,1256.488553
-86,4,1258.483466
-95,3,1260.063055
-95,7,1263.329434
550,13,1268.628047
185,13,1274.077027
-145,4,1276.112645
-95,3,1277.641767
104,9,1281.571511
185,13,1287.04004
40,8,1290.639459
356,13,1296.131455
1146,22,1303.872825
54,10,1308.276219
50,23,1317.212831
-95,3,1318.844352
-145,8,1322.585556
-86,4,1324.686962
104,9,1328.74798
-15,17,1335.582963
-215,18,1342.733493
-60,10,1347.346296
859,42,1360.607136
85,12,1365.600125
185,13,1370.976837
-44,21,1379.4322
-9,7,1382.710071
-60,40,1395.93552
-15,14,1401.881412
-45,6,1404.811143
-210,13,1410.464229
85,12,1415.434131
-9,7,1418.713398
185,10,1422.923796
-95,3,1424.502707
1335,25,1432.924472
-99,2,1434.088275
-96,13,1439.958157
-246,16,1446.925115
-45,6,1449.740137
-9,7,1452.944853
104,9,1456.892649
-10,9,1460.995224
-60,10,1465.569754
515,23,1473.584497
-95,3,1475.160039
35,13,1480.62779
-96,13,1486.335966
-59,8,1490.089175
-195,5,1492.716986
406,12,1497.721118
35,13,1502.966998
104,9,1506.918146
85,12,1511.920954
-145,8,1516.108481
54,10,1521.667829
135,11,2439.955773
356,13,2446.116066
-45,6,2449.980355
-9,7,2454.101043
85,15,2460.941564
400,16,2468.442475
315,27,2478.413115
-86,4,2480.676339
-70,5,2483.162743
450,15,2489.278789
-46,12,3401.677516
-9,7,3405.633977
-70,5,3409.473458
-10,9,3414.186782
4,11,3419.439823
-110,11,3424.933717
85,12,3430.683051
450,15,3437.372226
-120,6,3440.730187
-65,15,3447.210543
85,12,3452.863986
250,19,3460.911615
40,8,3465.53506
-10,9,3469.825431
935,33,3483.127146
235,12,3488.965533
-10,9,3493.794999
-115,19,3502.740902
56,19,3511.589125
715,19,3519.771091
35,13,3526.586203
-309,13,3533.263207
206,16,3540.692223
-145,8,3545.026403
-45,6,3549.319755
-45,6,3552.712613
469,19,3560.851845
-60,10,3566.441147
-9,7,3570.319345
519,18,3578.494679
185,10,3583.948512
519,18,3592.865979
365,26,3604.109331
