r,l,t
84.703704,17,916.823872
734.555556,29,927.700709
234.703704,14,933.98861
629.62963,17,941.076902
29.62963,29,952.003209
-16.222222,11,957.286152
-95.074074,3,959.045857
-71.296296,5,961.711701
-48.148148,6,964.829719
-71.296296,5,967.597103
-86.407407,4,969.890585
134.703704,16,977.134753
199.37037,18,984.930891
-63.888889,17,992.650373
86.111111,14,999.265251
334.703704,12,1004.816702
-16.222222,11,1010.259322
236.111111,11,1015.405852
-86.407407,4,1017.825268
28.074074,8,1021.753482
36.111111,15,1028.839167
-95.074074,3,1030.621755
-15.296296,19,1038.892569
86.111111,14,1045.334459
-321.925926,15,1052.763812
86.111111,14,1059.067211
-147.222222,16,1066.704578
-65.481481,8,1070.80539
2.777778,13,1077.565146
-121.296296,6,1081.060956
-98.148148,7,1084.996169
-86.407407,4,1087.508945
184.703704,15,1094.692777
-71.296296,5,1097.49283
-86.407407,4,1099.758995
84.703704,17,1107.24354
-99.0,2,1108.476051
102.777778,11,1113.620941
229.62963,25,1123.687642
52.777778,12,1129.41219
-16.222222,11,1135.05463
-86.407407,4,1137.638358
246.296296,29,1149.496741
-63.888889,17,1157.438935
-86.407407,4,1159.631106
-86.407407,4,1161.837589
83.777778,9,1166.14136
-215.481481,11,1171.743323
152.777778,10,1176.61322
102.777778,11,1181.948249
-71.296296,5,1184.754117
136.111111,13,1190.710309
-113.888889,18,1198.95444
-86.407407,4,1201.256995
83.777778,9,1205.891877
-98.148148,7,1209.672148
-21.925926,9,1214.155948
102.777778,11,1219.415111
-168.814815,42,1233.038147
-48.148148,6,1236.202506
-86.407407,4,1238.456548
-86.407407,4,1240.700195
349.37037,15,1247.303362
36.111111,15,1255.372797
-13.888889,16,1263.169746
-65.481481,8,1267.728575
-121.296296,6,1271.050862
-48.148148,6,1274.583041
249.37037,17,1282.925724
531.185185,28,1293.793327
-53.703704,35,1306.710386
-121.296296,6,1310.045575
83.777778,9,1314.200981
102.777778,11,1319.467591
-71.925926,10,1324.487096
-98.148148,7,1328.553274
-86.407407,4,1330.79642
129.62963,27,1341.860907
-171.296296,7,1345.717603
-13.888889,16,1353.198461
-65.481481,8,1357.223061
-115.481481,9,1361.776237
84.703704,17,1369.220654
-71.296296,5,1372.332106
-99.0,2,1373.705135
-71.296296,5,1376.981839
-48.148148,6,1380.585088
-99.0,2,1381.942019
299.37037,16,1389.440141
-99.0,2,1390.771721
-21.925926,9,1395.456282
-171.296296,7,1399.276652
234.703704,14,1405.514998
-113.888889,18,1413.809825
-97.222222,15,1421.588313
531.185185,28,1432.607248
234.703704,14,1438.769141
-86.407407,4,1440.989947
-198.148148,9,1445.75016
149.37037,19,1453.821741
-13.888889,16,1461.178944
-66.222222,12,1467.113583
33.777778,10,1471.984674
83.777778,9,1476.326945
186.111111,12,1481.785008
-86.407407,4,1483.996778
-420.37037,38,1497.782276
-171.925926,12,1503.701814
-48.148148,6,1506.805783
-48.148148,6,1509.878414
334.703704,12,1515.391383
136.111111,13,1521.383312
28.074074,8,1525.384521
-15.481481,7,1529.139029
-71.925926,10,1534.199888
-121.925926,11,1539.800579
-136.407407,5,1542.71563
581.185185,27,1553.584211
-116.222222,13,1560.594348
102.777778,11,1565.785739
-115.481481,9,1570.401015
-148.148148,8,1574.685823
-71.925926,10,1579.594827
28.074074,8,1583.597458
-65.481481,8,1587.572084
-16.222222,11,1592.937107
-98.148148,7,1596.596173
-95.074074,3,1598.321008
152.777778,10,1603.074642
-15.481481,7,1606.532633
-16.222222,11,1611.826729
-198.148148,9,1616.395981
-98.148148,7,1620.092318
-65.481481,8,1624.199027
52.777778,12,1629.814521
-86.407407,4,1632.025225
-71.296296,5,1634.971085
184.703704,15,1641.872563
86.111111,14,1648.454596
-99.0,2,1649.691542
28.074074,8,1653.572339
83.777778,9,1657.987532
-97.222222,15,1664.780443
-313.888889,22,1674.290442
329.62963,23,1683.573523
-71.296296,5,1686.334508
52.777778,12,1691.898652
-99.0,2,1693.101451
299.37037,16,1700.046054
429.62963,21,1708.806262
-116.222222,13,1714.878147
36.111111,15,1722.023184
152.777778,10,1726.815229
-171.925926,12,1733.061217
-48.148148,6,1736.195533
-65.296296,20,1744.981676
184.703704,15,1751.924237
1056.555556,28,1763.154423
581.185185,27,1774.15469
-71.925926,10,1779.291005
529.62963,19,1787.042266
-216.222222,15,1794.197474
846.296296,17,1801.081658
184.703704,15,1807.910187
33.777778,10,1812.742974
-193.444444,53,1829.368454
-98.148148,7,1832.948401
-166.222222,14,1839.972263
196.296296,30,1850.542501
-115.481481,9,1855.492582
296.296296,28,1867.8571
129.62963,27,1878.511151
-71.296296,5,1881.187205
-99.0,2,1882.408232
-121.296296,6,1885.645878
-95.074074,3,1887.424225
-171.296296,7,1891.222554
234.703704,14,1897.589084
634.555556,31,1908.495186
34.703704,18,1916.432707
-98.148148,7,1920.439053
534.555556,33,1934.478511
-21.925926,9,1939.54061
-16.222222,11,1945.013448
84.703704,17,1953.142608
